user_id,mood,genre,album,artist
4,happy,indie,Blues in the Night,Chopin
2,sad,classical,Symphony No. 5,Sunny Days
3,happy,pop,Live Free,Pop Star
5,happy,rock,Symphony No. 5,The Rainmakers
1,sad,pop,Dance Like Nobody's Watching,The Rainmakers
5,relaxed,jazz,Lost Dreams,Sunny Days
2,happy,classical,Blues in the Night,Pop Star
3,sad,jazz,Symphony No. 5,The Freedom Fighters
5,sad,rock,Smooth Jazz Nights,The Rainmakers
5,relaxed,classical,Nocturnes,The Rainmakers
2,happy,blues,Smooth Jazz Nights,Beethoven
2,sad,classical,Summer Vibes,DJ Beats
2,relaxed,classical,Summer Vibes,Beethoven
4,relaxed,blues,Lost Dreams,The Rainmakers
5,sad,rock,Dance Like Nobody's Watching,Pop Star
5,relaxed,classical,Nocturnes,Chopin
1,sad,rock,Shine On,The Rainmakers
3,sad,rock,Smooth Jazz Nights,The Rainmakers
2,sad,classical,Symphony No. 5,Sunny Days
1,sad,pop,Dance Like Nobody's Watching,The Dreamers
